_id,SL No.,Platform,Bus Route,Starting From,Destination,VIA,Image_Directory
1,1,1,87,Kempegowda Bus Stand,HAMPINAGAR R.P.C. LAYOUT,"MAGADI ROAD, PRASANNA, PIPELINE ROAD",/Transport_Pics/1.jpg
2,2,1,87-A,Kempegowda Bus Stand,HAMPINAGAR R.P.C. LAYOUT,"MAGADI ROAD, PRASANNA, PIPELINE ROAD, RAILWAY GATE",/Transport_Pics/2.jpg
3,3,1,87-B,Kempegowda Bus Stand,NAYANDAHALLI RAILWAY GATE,"MAGADI ROAD, PRASANNA, PIPELINE ROAD, INCOME TAX, GANGONDANAHALLI",/Transport_Pics/3.jpg
4,4,2,61,Kempegowda Bus Stand,VIJAYANAGAR,"MAGADI ROAD, PRASANNA",/Transport_Pics/4.jpg
5,5,2,61-A,Kempegowda Bus Stand,CHANDRA LAYOUT,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX",/Transport_Pics/5.jpg
6,6,2,61-B,Kempegowda Bus Stand,SARSWATHINAGAR (BAPOOJI LAYOUT),"MAGADI ROAD, PRASANNA, VIJAYANAGAR",/Transport_Pics/6.jpg
7,7,2,61-C,Kempegowda Bus Stand,BCC LAYOUT,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, ATTIGUPPE",/Transport_Pics/7.jpg
8,8,2,61-E,Kempegowda Bus Stand,VIJAYANAGAR TTMC,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, MARUTHI MANDIR",/Transport_Pics/8.jpg
9,9,2,61-F,Kempegowda Bus Stand,GKW LAYOUT,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR",/Transport_Pics/9.jpg
10,10,2,61-G,Kempegowda Bus Stand,CHANDRA LAYOUT,"SUJATHA, PRASANNA, VIJAYANAGAR, INCOME TAX",/Transport_Pics/10.jpg
11,11,2,61-G,Kempegowda Bus Stand,CHANDRA LAYOUT 1ST STAGE,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT",/Transport_Pics/11.jpg
12,12,2,61-M,Kempegowda Bus Stand,VIDYAGIRI LAYOUT,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT",/Transport_Pics/12.jpg
13,13,3,235-B,Kempegowda Bus Stand,DODDABASTI,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, MARIYAPPANAPALYA",/Transport_Pics/13.jpg
14,14,3,235-D,Kempegowda Bus Stand,SULIKERE,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, RAMASANDRA",/Transport_Pics/14.jpg
15,15,3,235-F,Kempegowda Bus Stand,SPORTS AUTHORITY OF INDIA,"SUJATHA 6TH BLOCK, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, GANDHIBAVANA",/Transport_Pics/15.jpg
16,16,3,235-K,Kempegowda Bus Stand,DODDABASTI,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, SONNENAHALLI",/Transport_Pics/16.jpg
17,17,3,235-P,Kempegowda Bus Stand,CHIKKANAHALLI,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, SONNENAHALLI, DODDABASTI",/Transport_Pics/17.jpg
18,18,3,235-Q,Kempegowda Bus Stand,MARUTHI NAGAR,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, BUC, ADM OFFICE, SONNENAHALLI",/Transport_Pics/18.jpg
19,19,3,238,Kempegowda Bus Stand,NRUPATHUNGANAGAR,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE",/Transport_Pics/19.jpg
20,20,3,238-A,Kempegowda Bus Stand,NAGARBHAVI 1ST STAGE (3RD BLOCK),"MAGADI ROAD, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT, NAGARBHAVI CIRCLE",/Transport_Pics/20.jpg
21,21,3,238-AB,Kempegowda Bus Stand,ITI LAYOUT,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT, NAGARBHAVI CIRCLE",/Transport_Pics/21.jpg
22,22,3,238-C,Kempegowda Bus Stand,BANDE MARAMMA TEMPLE,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, KALYAN NAGAR",/Transport_Pics/22.jpg
23,23,3,238-L,Kempegowda Bus Stand,AMBEDKAR COLLEGE,"SUJATHA 6TH BLOCK, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, NRUPATHUNGANAGAR",/Transport_Pics/23.jpg
24,24,3,238-U,Kempegowda Bus Stand,BANGALORE UNIVERSITY QUARTERS,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, MALLATHAHALLI",/Transport_Pics/24.jpg
25,25,3,238-V,Kempegowda Bus Stand,AMBEDKAR COLLEGE,"PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE",/Transport_Pics/25.jpg
26,26,3,238-W,Kempegowda Bus Stand,NARASAPURA,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, MALLATHAHALLI",/Transport_Pics/1.jpg
27,27,3,238-ZA,Kempegowda Bus Stand,ULLALU UPANAGARA,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, MALLATHAHALLI CROSS, VIDYANIKETAN",/Transport_Pics/2.jpg
28,28,3,223-P,Kempegowda Bus Stand,UPKAR RESIDENCY LAYOUT,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT, MALLATHAHALLI CROSS, BALAJI LAYOUT",/Transport_Pics/3.jpg
29,29,3,223-PA,Kempegowda Bus Stand,UPKAR RESIDENCY LAYOUT,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT, MALLATHAHALLI CROSS, BALAJI LAYOUT",/Transport_Pics/4.jpg
30,30,4,240-D,Kempegowda Bus Stand,GOLLARAHATTI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE",/Transport_Pics/5.jpg
31,31,4,240-H,Kempegowda Bus Stand,G HOSAHALLI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, BYADARAHALLI",/Transport_Pics/6.jpg
32,32,4,240-R,Kempegowda Bus Stand,MACHOHALLI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, BYADARAHALLI",/Transport_Pics/7.jpg
33,33,4,241-B,Kempegowda Bus Stand,KENCHANAPURA,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, KODIGENAHALLI CROSS, KANNALI",/Transport_Pics/8.jpg
34,34,4,241-CB,Kempegowda Bus Stand,YELE KODIGENAHALLI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, GOLLARAHATTI",/Transport_Pics/9.jpg
35,35,4,241-D,Kempegowda Bus Stand,BHARAT NAGAR 2ND STAGE,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, BHARAT NAGAR 3RD STAGE",/Transport_Pics/10.jpg
36,36,4,241-H,Kempegowda Bus Stand,MAHADESHWARA NAGAR,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE",/Transport_Pics/11.jpg
37,37,4-A,242-B,Kempegowda Bus Stand,TAVAREKERE,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, KADABAGRE CROSS, CHANNENAHALLI",/Transport_Pics/12.jpg
38,38,4-A,242-CB,Kempegowda Bus Stand,THUNGANAGAR,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, BYADARAHALLI",/Transport_Pics/13.jpg
39,39,4-A,242-T,Kempegowda Bus Stand,HUNNIGERE,"SUJATHA 6TH BLOCK, PRASANNA, KAMAKSHIPALYA, SUNKADAKATTE, TAVAREKERE, MALLASANDRA, GERALLI",/Transport_Pics/14.jpg
40,40,4-A,242-X,Kempegowda Bus Stand,DODDERI VILLAGE,"MAGADI ROAD, PRASANNA, A DASARAHALLI, SUNKADAKATTE, TAVAREKERE, HULUVENAHALLI CROSS, CHANDRAPPA CIRCLE, BYALALU",/Transport_Pics/15.jpg
41,41,4-A,242-Z,Kempegowda Bus Stand,TIPPAGONDANAHALLI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, SUNKADAKATTE, TAVAREKERE, GOLLARAHATTI, MARENAHALLI, CHOLANAYAKANAHALLI TB",/Transport_Pics/16.jpg
42,42,4-A,242-ZD,Kempegowda Bus Stand,KALLURU,"MAGADI ROAD, PRASANNA, TAVAREKERE, TIPPAGONDANAHALLI, SHANUBHOGANAHALLI",/Transport_Pics/17.jpg
43,43,4-A,243-D,Kempegowda Bus Stand,TIGALARAPALYA,"MAGADI ROAD, PRASANNA, SUNKADAKATTE, TUNGANAGAR, ANDRAHALLI",/Transport_Pics/18.jpg
44,44,4-A,243-F,Kempegowda Bus Stand,GIDADAKONENAHALLI,"MAGADI ROAD, PRASANNA, SUNKADAKATTE, EAST WEST COLLEGE",/Transport_Pics/19.jpg
